# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.50000000,0.15638098,0.00000000,0.00000000,-2.91411510,4.36845684,-2.60822419,0.71742562,-0.07531717,0.28566805,0.00000000,0.00000000,0.21055662,-0.56832495,0.40553057,-0.11905534,0.01282906,0.69999615,0.00000000,-0.00000000,0.00167892,-0.00338492,0.00242078,-0.00073788,0.00008168,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2.50000000,-0.26043037,0.62080993,0.33376632,-1.02075030,1.20477510,-0.74268291,0.21609875,-0.02370986,-0.25798918,-0.20150135,0.18175669,0.20791030,-0.25866022,0.14343565,-0.04169431,0.00477069,0.70011287,-0.00004240,-0.00095266,0.00020449,0.00172592,-0.00163575,0.00054977,-0.00006413,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2.50000000,0.24944268,-0.50566084,-0.19037850,-0.27564898,0.79193231,-0.56288899,0.17586197,-0.02069407,0.25883302,0.17689206,-0.19346552,0.07899666,-0.25358583,0.22270162,-0.07551146,0.00917875,0.70000577,-0.00004786,0.00033373,-0.00064401,0.00043924,-0.00007098,-0.00002910,0.00000803,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2.50000000,-0.24196533,0.60883246,0.09343451,-0.87268902,1.70410905,-1.37711756,0.47424669,-0.05859067,-0.26441326,-0.22060146,0.26528961,0.41373645,-0.92716554,0.73533345,-0.25554766,0.03229964,0.69993394,-0.00018699,0.00030905,0.00120219,-0.00258267,0.00184207,-0.00056674,0.00006426,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
